Wall time,Step,Value
1743046633.082888,534000,526.5499877929688
1743046633.518935,534400,526.9299926757812
1743046634.0220206,534800,527.6500244140625
1743046634.5625722,535200,527.5900268554688
1743046637.5770657,537600,525.5700073242188
1743046649.5227501,539600,522.1300048828125
1743046649.935319,540000,521.4600219726562
1743046650.3625321,540400,520.9000244140625
1743046652.6858888,542400,521.6799926757812
1743046654.7085488,544000,524.3300170898438
1743046655.5652103,544800,523.780029296875
1743046655.9879088,545200,523.47998046875
1743046657.7234018,546800,526.9099731445312
1743046659.6625068,548400,527.239990234375
1743046663.6323926,551200,525.1099853515625
1743046674.0996687,552000,525.3699951171875
1743046675.3746393,553200,526.97998046875
1743046676.2417598,554000,525.1799926757812
1743046676.6650608,554400,525.280029296875
1743046677.9429796,555600,525.4400024414062
1743046678.3731594,556000,524.760009765625
1743046679.2288897,556800,522.6099853515625
1743046679.6651535,557200,521.3800048828125
1743046681.197472,558400,522.739990234375
1743046699.4308867,565200,528.47998046875
1743046699.9641974,565600,526.3900146484375
1743046700.4115005,566000,527.8800048828125
1743046700.9011118,566400,528.739990234375
1743046702.6980352,568000,528.9000244140625
1743046704.032083,569200,526.1500244140625
1743046705.7711666,570800,527.1099853515625
1743046706.2013588,571200,524.8499755859375
1743046706.638059,571600,524.4199829101562
1743046708.5133288,573200,522.5900268554688
1743046708.9969902,573600,524.3599853515625
1743046709.4533782,574000,522.47998046875
1743046710.3669736,574800,521.8800048828125
1743046711.249256,575600,521.510009765625
1743046712.132639,576400,521.4099731445312
1743046723.0240104,577200,521.47998046875
1743046726.8956385,580400,530.0999755859375
1743046729.073831,582400,528.8300170898438
1743046729.5134184,582800,530.0499877929688
1743046733.6693234,586400,532.27001953125
1743046734.166391,586800,530.3900146484375
1743046749.1335416,591200,521.739990234375
1743046750.8759518,592800,520.989990234375
1743046751.2963297,593200,521.3599853515625
1743046752.7287607,594400,522.8499755859375
1743046753.1777484,594800,522.989990234375
1743046754.6584294,596000,523.1799926757812
1743046755.5935614,596800,525.7999877929688
1743046756.0338159,597200,528.3300170898438
1743046756.506346,597600,524.9000244140625
1743046759.692371,600400,527.7999877929688
1743046760.1620765,600800,528.5900268554688
1743046760.615788,601200,526.9299926757812
1743046761.067887,601600,526.719970703125
1743046772.1091335,602800,531.2100219726562
1743046773.426089,603600,529.3800048828125
1743046773.9617965,604000,531.9099731445312
1743046774.3859375,604400,531.72998046875
1743046774.8081882,604800,528.8800048828125
1743046778.2150762,607600,524.2100219726562
1743046780.424611,609600,523.9600219726562
1743046780.86244,610000,523.8800048828125
1743046782.1781507,611200,521.989990234375
1743046785.5912325,614000,520.2899780273438
1743046797.0531604,614800,523.8699951171875
1743046802.3207524,618800,526.1500244140625
1743046803.2845368,619600,528.52001953125
1743046804.9133904,620800,528.25
1743046805.4050956,621200,528.1699829101562
1743046806.2988272,622000,529.6300048828125
1743046806.8557978,622400,528.0399780273438
1743046810.2659934,624800,525.3699951171875
1743046810.7905746,625200,522.530029296875
1743046823.6904447,627600,523.6799926757812
1743046824.1209295,628000,524.8099975585938
1743046828.476299,631600,525.1500244140625
1743046830.478536,633200,526.969970703125
1743046831.7508862,634000,526.9400024414062
1743046834.226875,635600,526.1199951171875
1743046837.7124405,638000,526.219970703125
1743046839.3265576,639200,527.239990234375
1743046848.3772337,640000,528.530029296875
1743046850.0818422,641200,523.6900024414062
1743046851.0318816,642000,524.75
1743046851.4554677,642400,526.0800170898438
1743046853.2737808,644000,521.5800170898438
1743046853.9573352,644400,519.469970703125
1743046854.93291,645200,520.0399780273438
1743046855.4398103,645600,521.8400268554688
1743046856.371121,646400,520.4299926757812
1743046857.7400362,647600,516.260009765625
1743046858.6661227,648400,518.469970703125
1743046860.541881,650000,519.6699829101562
1743046861.5156574,650800,523.989990234375
